"department","total_count","terminated_count","termination_rate"
"Auditing",50,8,0.16
"Legal",302,37,0.12251655629139073
"Training",1655,189,0.11419939577039274
"Human Resources",1755,196,0.11168091168091168
"Research and Development",1059,117,0.11048158640226628
"Sales",1776,193,0.10867117117117117
"Accounting",3221,346,0.10742005588326607
"Product Management",624,66,0.10576923076923077
"Engineering",6483,682,0.10519821070492057
"Services",1641,169,0.10298598415600244
"Support",929,93,0.10010764262648009
"Business Development",1574,147,0.09339263024142312
"Marketing",480,42,0.0875
